VV,VH,smap_am,soil_moisture
-12.13760173,-17.72880949,0.11661439389,0.133
-8.773516032,-14.587226399999999,0.522607088089,0.113
-13.3808035,-18.81565462,0.244403421879,0.126
-11.56,-16.73,0.199901938438,0.084
-10.52230693,-16.07852582,0.264138519764,0.29600000000000004
-14.20974581,-20.72783927,0.102847971022,0.02
-8.175918388,-13.93327091,0.370902895927,0.043
-9.637291437,-15.10052162,0.16950841248,0.228
-11.1954213,-16.38623834,0.120256878436,0.23600000000000002
-7.56,-13.82,0.21046875417199998,0.113
-12.069694300000002,-18.04491078,0.13634364306900001,0.068
-10.24376585,-16.73069752,0.20105291903,0.259
-11.89046214,-19.08054229,0.216045603156,0.304
-11.21247679,-18.26707589,0.202975511551,0.017
-8.216413975,-13.97899155,0.0670895799994,0.053
-10.26,-16.08,0.08686745166780001,0.017
-11.70490731,-17.46792196,0.0832930654287,0.096
-7.146509872999999,-13.76191946,0.217214986682,0.05
-12.54,-17.94,0.0744763314724,0.157
-8.07888941,-14.27133154,0.07733729481700001,0.0
-7.680462499,-14.05416413,0.0752077177167,0.027000000000000003
-7.386226149,-12.91336011,0.22778637707199997,0.187
-9.939710785,-15.2664531,0.28272324800500004,0.129
-7.702901212,-13.76331555,0.27377516031300003,0.568
-11.38612722,-16.72543881,0.22052334249000002,0.188
-8.11,-13.76,0.20680296421100003,0.20199999999999999
-7.57940131,-12.99133527,0.320860117674,0.071
-6.77911307,-12.95672296,0.338257998228,0.23
-8.3877843,-13.95125504,0.31575435399999996,0.196
-9.483852788,-14.69602796,0.29924798011799997,0.0
-9.483852788,-14.69602796,0.257878899574,0.23800000000000002
-9.838535526,-15.02965928,0.207351148129,0.196
-7.706987827000001,-13.38795508,0.344695329666,0.23199999999999998
-7.789421754,-13.360033300000001,0.280581563711,0.107
-7.752578015,-13.29530315,0.277736961842,0.26
-7.752578015,-13.29530315,0.277736961842,0.121
-5.38,-11.68,0.21270839870000002,0.166
-7.000220154,-13.50586217,0.212012663484,0.065
-5.536954013,-11.81135776,0.24110001325599997,0.13699999999999998
